T,Cl
0,0
0.125,-0.000673238
0.25,-0.00124138
0.375,-0.00175477
0.5,-0.00225485
0.625,-0.00275697
0.75,-0.00326797
0.875,-0.00379081
1,-0.00432631
1.125,-0.00487394
1.25,-0.00543234
1.375,-0.00599962
1.5,-0.00657359
1.625,-0.00715186
1.75,-0.00773191
1.875,-0.00831117
2,-0.00888691
2.125,-0.00945644
2.25,-0.010017
2.375,-0.0105657
2.5,-0.0110997
2.625,-0.0116161
2.75,-0.0121121
2.875,-0.0125846
3,-0.0130307
3.125,-0.0134476
3.25,-0.0138325
3.375,-0.0141824
3.5,-0.0144947
3.625,-0.0147668
3.75,-0.0149962
3.875,-0.0151805
4,-0.0153176
4.125,-0.0154055
4.25,-0.0154426
4.375,-0.0154274
4.5,-0.0153588
4.625,-0.0152359
4.75,-0.0150583
4.875,-0.014826
5,-0.0145391
5.125,-0.0141986
5.25,-0.0138054
5.375,-0.0133612
5.5,-0.0128678
5.625,-0.0123279
5.75,-0.011744
5.875,-0.0111194
6,-0.0104576
6.125,-0.00976244
6.25,-0.00903803
6.375,-0.0082887
6.5,-0.007519
6.625,-0.00673362
6.75,-0.00593726
6.875,-0.00513471
7,-0.00433076
7.125,-0.00353002
7.25,-0.00273705
7.375,-0.00195615
7.5,-0.00119144
7.625,-0.000446723
7.75,0.000274546
7.875,0.000969236
8,0.00163457
